Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC,tradecount
1709251200000,2024-03-01,ETHBTC,0.05464,0.0554,0.05457,0.05503,38277.1443,2107.11461585,88041
1709164800000,2024-02-29,ETHBTC,0.05419,0.05643,0.05415,0.05463,83573.2101,4622.62950781,186285
1709078400000,2024-02-28,ETHBTC,0.05685,0.05725,0.05392,0.05419,111346.2218,6158.06208449,254153
1708992000000,2024-02-27,ETHBTC,0.0583,0.05833,0.05662,0.05684,56120.2004,3219.86190333,132559
1708905600000,2024-02-26,ETHBTC,0.06018,0.0605,0.0581,0.0583,57130.1934,3395.34601688,127590
1708819200000,2024-02-25,ETHBTC,0.05804,0.06019,0.05796,0.06018,45208.4783,2677.42070789,95735
1708732800000,2024-02-24,ETHBTC,0.05758,0.05823,0.05738,0.05803,15636.3504,905.31632747,40930
1708646400000,2024-02-23,ETHBTC,0.05794,0.05819,0.05716,0.05759,24182.0076,1393.50334805,62078
1708560000000,2024-02-22,ETHBTC,0.05725,0.05831,0.05674,0.05793,44597.548,2575.16569929,104398
1708473600000,2024-02-21,ETHBTC,0.05769,0.05789,0.05651,0.05724,39446.2621,2252.61937118,94289
1708387200000,2024-02-20,ETHBTC,0.05686,0.05778,0.05575,0.05769,49674.7037,2815.20687523,123367
1708300800000,2024-02-19,ETHBTC,0.05526,0.05731,0.05494,0.05687,46706.278,2613.23595718,127020
1708214400000,2024-02-18,ETHBTC,0.05394,0.05535,0.05383,0.05526,26011.0413,1417.24121582,84385
1708128000000,2024-02-17,ETHBTC,0.05375,0.05413,0.05355,0.05394,18613.5828,1001.23872531,59055
1708041600000,2024-02-16,ETHBTC,0.05441,0.05498,0.05323,0.05375,37402.9918,2024.05808071,92606
1707955200000,2024-02-15,ETHBTC,0.05357,0.05493,0.05323,0.05441,53281.6025,2876.12547271,119423
1707868800000,2024-02-14,ETHBTC,0.05312,0.05382,0.05299,0.05358,37626.7289,2007.33939977,79769
1707782400000,2024-02-13,ETHBTC,0.05329,0.05414,0.05285,0.05312,44964.6154,2404.84821363,77501
1707696000000,2024-02-12,ETHBTC,0.05191,0.05329,0.05115,0.05328,45793.3955,2384.55318687,89211
1707609600000,2024-02-11,ETHBTC,0.05235,0.05267,0.05186,0.05192,22859.8138,1194.73040198,49040
1707523200000,2024-02-10,ETHBTC,0.05276,0.05309,0.05211,0.05236,16639.94,876.42241682,36574
1707436800000,2024-02-09,ETHBTC,0.05342,0.05353,0.05223,0.05275,45108.9025,2386.83540981,88537
1707350400000,2024-02-08,ETHBTC,0.05468,0.05474,0.05331,0.05342,36927.8959,1996.79276281,97153
1707264000000,2024-02-07,ETHBTC,0.05505,0.0559,0.05468,0.05468,31804.0431,1756.2239176,86004
1707177600000,2024-02-06,ETHBTC,0.05389,0.05542,0.05384,0.05505,33239.6428,1815.54747676,61098
1707091200000,2024-02-05,ETHBTC,0.05377,0.05414,0.05355,0.0539,24137.9016,1299.5486742,68659
1707004800000,2024-02-04,ETHBTC,0.0534,0.05392,0.05325,0.05378,14840.432,795.51294734,33205
1706918400000,2024-02-03,ETHBTC,0.05344,0.05387,0.05333,0.05341,12936.1768,693.60164593,28882
1706832000000,2024-02-02,ETHBTC,0.05348,0.05383,0.0533,0.05344,21738.0296,1164.10789684,39225
1706745600000,2024-02-01,ETHBTC,0.05361,0.05415,0.0533,0.05348,24331.9014,1306.33902997,46777
1706659200000,2024-01-31,ETHBTC,0.05456,0.0546,0.0535,0.05361,28202.5033,1522.34222036,59079
1706572800000,2024-01-30,ETHBTC,0.05353,0.0549,0.05309,0.05457,46334.2603,2502.63085439,77838
1706486400000,2024-01-29,ETHBTC,0.0537,0.05385,0.05305,0.05352,30155.432,1614.33233716,49121
1706400000000,2024-01-28,ETHBTC,0.05385,0.05421,0.05354,0.05371,16417.7622,884.65364598,34054
1706313600000,2024-01-27,ETHBTC,0.05422,0.05462,0.0537,0.05384,16279.8844,882.82105202,34429
1706227200000,2024-01-26,ETHBTC,0.05552,0.05583,0.05357,0.05422,44491.5627,2429.06035221,72197
1706140800000,2024-01-25,ETHBTC,0.05574,0.05596,0.05457,0.05553,34034.2119,1886.6786669,80090
1706054400000,2024-01-24,ETHBTC,0.05622,0.05623,0.0555,0.05574,22803.251,1273.30958318,51228
1705968000000,2024-01-23,ETHBTC,0.05847,0.0587,0.05572,0.05622,51334.1165,2932.41398077,107437
1705881600000,2024-01-22,ETHBTC,0.05908,0.05928,0.05805,0.05848,52457.1032,3074.13504812,103799
1705795200000,2024-01-21,ETHBTC,0.05928,0.05946,0.05902,0.05908,11673.3876,691.93838173,36037
1705708800000,2024-01-20,ETHBTC,0.05981,0.05984,0.05904,0.05928,12743.4269,756.96585293,35246
1705622400000,2024-01-19,ETHBTC,0.05979,0.06053,0.05922,0.05982,42475.5932,2545.59612989,82592
1705536000000,2024-01-18,ETHBTC,0.05915,0.06001,0.05898,0.05979,32930.7354,1955.65206448,84667
1705449600000,2024-01-17,ETHBTC,0.05999,0.06013,0.05904,0.05916,31377.9453,1874.01513978,68699
1705363200000,2024-01-16,ETHBTC,0.05908,0.06017,0.05878,0.05999,36489.5287,2168.14808633,93342
1705276800000,2024-01-15,ETHBTC,0.05926,0.0597,0.05876,0.05908,33788.1854,2000.82707832,158160
1705190400000,2024-01-14,ETHBTC,0.06018,0.06021,0.0585,0.05925,29950.6518,1775.94587795,88991
1705104000000,2024-01-13,ETHBTC,0.05896,0.06036,0.05866,0.06017,54923.944,3273.68237296,137471
1705017600000,2024-01-12,ETHBTC,0.05649,0.06117,0.05615,0.05895,133063.8725,7801.33426594,309138
