Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1664409600000,2022-09-29,ETHUSDC,1337.32,1351.81,1328.16,1338.12,797.3137,1068669.654596,921
1664323200000,2022-09-28,ETHUSDC,1328.43,1354.86,1253.02,1337.68,20354.5395,26553996.35343,22620
1664236800000,2022-09-27,ETHUSDC,1336.22,1400.01,1303.88,1328.03,30596.8449,41664557.297143,26779
1664150400000,2022-09-26,ETHUSDC,1294.67,1340.43,1278.42,1336.38,26884.5903,35265182.177816,32241
1664064000000,2022-09-25,ETHUSDC,1317.3,1337.99,1269.51,1294.94,25332.803,33050302.404229,36220
1663977600000,2022-09-24,ETHUSDC,1327.39,1349.23,1306.73,1316.8,21628.8667,28730113.61118,35221
1663891200000,2022-09-23,ETHUSDC,1326.38,1359.39,1262.45,1326.98,57059.4215,74615268.121403,75735
1663804800000,2022-09-22,ETHUSDC,1245.76,1348.67,1237.24,1326.08,44055.4953,56661879.889123,65116
1663718400000,2022-09-21,ETHUSDC,1323.2,1409.33,1220.69,1245.93,63837.5437,84554166.89791,87527
1663632000000,2022-09-20,ETHUSDC,1376.01,1384.91,1313.34,1322.93,48151.9133,64990518.026695,62166
1663545600000,2022-09-19,ETHUSDC,1334.56,1393.13,1281,1376.3,58354.6341,77208195.091564,74189
1663459200000,2022-09-18,ETHUSDC,1468.92,1469.81,1325,1334.17,40886.2797,56751102.252666,51218
1663372800000,2022-09-17,ETHUSDC,1433.81,1476.16,1409,1469.16,22299.2286,32192886.249395,35357
1663286400000,2022-09-16,ETHUSDC,1473.1,1483.26,1405.6,1434.44,38629.6554,55961216.774361,61451
1663200000000,2022-09-15,ETHUSDC,1638.73,1657.23,1457.08,1472.61,78511.8731,123825713.652599,110918
1663113600000,2022-09-14,ETHUSDC,1574.16,1646.8,1552.67,1638.73,33584.8294,53673767.699627,52616
1663027200000,2022-09-13,ETHUSDC,1716.44,1760,1561.54,1574.62,70623.5968,115146727.24263,81135
1662940800000,2022-09-12,ETHUSDC,1767.19,1783.34,1693.18,1717.02,36568.1977,63255727.118653,55905
1662854400000,2022-09-11,ETHUSDC,1774.7,1789.31,1720.89,1766.84,18793.8295,33128997.282842,33867
1662768000000,2022-09-10,ETHUSDC,1719.45,1789.94,1707,1774.58,23197.33,40281608.058887,38111
1662681600000,2022-09-09,ETHUSDC,1635.74,1746,1630.72,1719.04,51341.3854,87171880.483794,66695
1662595200000,2022-09-08,ETHUSDC,1630.51,1663.69,1595.23,1635.16,48036.0509,78110820.259805,62638
1662508800000,2022-09-07,ETHUSDC,1559.03,1657.68,1490,1630.57,54293.152,84108637.230459,71982
1662422400000,2022-09-06,ETHUSDC,1617.81,1687.25,1554.27,1558.93,72659.0019,118943568.835222,89234
1662336000000,2022-09-05,ETHUSDC,1579.38,1631.35,1556.98,1617.8,25428.9986,40283940.874986,48567
1662249600000,2022-09-04,ETHUSDC,1557.28,1583.09,1540.82,1579.53,15535.1503,24262513.668129,31103
1662163200000,2022-09-03,ETHUSDC,1575.19,1582.08,1534.11,1557.63,18942.2168,29441485.510679,35039
1662076800000,2022-09-02,ETHUSDC,1585.96,1649,1546.8,1575.48,42943.3011,68788874.358898,60890
1661990400000,2022-09-01,ETHUSDC,1553.88,1599.79,1513.17,1586.11,34701.0702,53957590.264262,58426
1661904000000,2022-08-31,ETHUSDC,1524.79,1619.59,1524.62,1553.84,49630.9716,78296633.033677,75476
1661817600000,2022-08-30,ETHUSDC,1551.88,1606.01,1474.15,1524.49,54579.3948,84561378.157844,75367
1661731200000,2022-08-29,ETHUSDC,1426.64,1559.92,1422.2,1552.2,59008.2918,88080095.181462,73767
1661644800000,2022-08-28,ETHUSDC,1491.05,1511.15,1424.08,1426.09,35960.6133,53189239.479976,54171
1661558400000,2022-08-27,ETHUSDC,1507.71,1518.55,1447.23,1491.28,51542.2002,76680685.087654,69475
1661472000000,2022-08-26,ETHUSDC,1695.33,1705.66,1486.06,1508.24,63597.8962,102635670.11025,88483
1661385600000,2022-08-25,ETHUSDC,1656.6,1722.4,1653.44,1695.62,35135.3368,59715080.73207,45548
1661299200000,2022-08-24,ETHUSDC,1665.6,1694.62,1605.69,1656.59,48282.9295,79628261.085497,62944
1661212800000,2022-08-23,ETHUSDC,1624.54,1675,1563.81,1665.29,66413.8018,107944397.94601,78926
1661126400000,2022-08-22,ETHUSDC,1618.27,1628.72,1529.71,1624.72,89821.3716,141356576.643282,96017
1661040000000,2022-08-21,ETHUSDC,1575.95,1646.13,1562.34,1618.11,42903.7403,69009649.795249,71585
1660953600000,2022-08-20,ETHUSDC,1608.89,1656.68,1523.86,1575.93,52120.9992,84046358.502544,85989
